id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_subspecies_name
116005054,2022/05/07 6:28 PM,2022-05-07,2022-05-07 21:28:00 UTC,Montevideo,736016,flo_grattarola,2022-05-08 00:42:22 UTC,2022-05-08 15:23:12 UTC,needs_id,CC0,https://www.inaturalist.org/observations/116005054,https://inaturalist-open-data.s3.amazonaws.com/photos/195783147/medium.jpeg,,"",,1,0,false,,"80000 San José, Departamento de San José, Uruguay",-34.3301233333,-56.7181016667,20,,,,20,,,false,,,Madrecita,Cnesterodon decemmaculatus,Madrecita,Actinopterygii,71150,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Cnesterodon,Cnesterodon decemmaculatus,
116005055,2022/05/07 6:28 PM,2022-05-07,2022-05-07 21:28:00 UTC,Montevideo,736016,flo_grattarola,2022-05-08 00:42:22 UTC,2022-05-08 02:12:06 UTC,research,CC0,https://www.inaturalist.org/observations/116005055,https://inaturalist-open-data.s3.amazonaws.com/photos/195783118/medium.jpeg,,"",,2,0,false,,"80000 San José, Departamento de San José, Uruguay",-34.3301233333,-56.7181016667,20,,,,20,,,false,,,Verbena montevidensis,Verbena montevidensis,,Plantae,170151,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Verbenaceae,Verbena,Verbena montevidensis,
116005056,2022/05/07 6:27 PM,2022-05-07,2022-05-07 21:27:00 UTC,Montevideo,736016,flo_grattarola,2022-05-08 00:42:22 UTC,2022-05-08 01:04:12 UTC,research,CC0,https://www.inaturalist.org/observations/116005056,https://inaturalist-open-data.s3.amazonaws.com/photos/195783201/medium.jpeg,,"",,1,0,false,,"80000 San José, Departamento de San José, Uruguay",-34.3301233333,-56.7181016667,20,,,,20,,open,false,,,honey locust,Gleditsia triacanthos,Acacia de tres espinas,Plantae,54797,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Gleditsia,Gleditsia triacanthos,
116005059,2022/05/07 6:27 PM,2022-05-07,2022-05-07 21:27:00 UTC,Montevideo,736016,flo_grattarola,2022-05-08 00:42:24 UTC,2022-05-08 01:11:40 UTC,needs_id,CC0,https://www.inaturalist.org/observations/116005059,https://inaturalist-open-data.s3.amazonaws.com/photos/195783224/medium.jpeg,,"",,1,0,false,,"80000 San José, Departamento de San José, Uruguay",-34.3301233333,-56.7181016667,20,,,,20,,,false,,,Eryngium elegans,Eryngium elegans,,Plantae,544212,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Eryngium,Eryngium elegans,
116005061,2022/05/07 6:26 PM,2022-05-07,2022-05-07 21:26:00 UTC,Montevideo,736016,flo_grattarola,2022-05-08 00:42:25 UTC,2022-05-08 02:11:39 UTC,needs_id,CC0,https://www.inaturalist.org/observations/116005061,https://inaturalist-open-data.s3.amazonaws.com/photos/195783268/medium.jpeg,,"",,1,0,false,,"80000 San José, Departamento de San José, Uruguay",-34.3301233333,-56.7181016667,20,,,,20,,,false,,,Tegogolos,Pomacea,Tegogolos,Mollusca,84111,Animalia,Mollusca,Gastropoda,Architaenioglossa,Ampullariidae,Pomacea,,
116005066,2022/05/07 6:26 PM,2022-05-07,2022-05-07 21:26:00 UTC,Montevideo,736016,flo_grattarola,2022-05-08 00:42:26 UTC,2022-05-08 16:02:20 UTC,needs_id,CC0,https://www.inaturalist.org/observations/116005066,https://inaturalist-open-data.s3.amazonaws.com/photos/195783314/medium.jpeg,,"",,2,0,false,,"80000 San José, Departamento de San José, Uruguay",-34.3297478172,-56.7182513282,20,,,,20,,,false,,,Redonditas,Hydrocotyle,Redonditas,Plantae,56917,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,Hydrocotyle,,
116005067,2022/05/07 6:22 PM,2022-05-07,2022-05-07 21:22:00 UTC,Montevideo,736016,flo_grattarola,2022-05-08 00:42:27 UTC,2022-05-08 01:04:17 UTC,research,CC0,https://www.inaturalist.org/observations/116005067,https://inaturalist-open-data.s3.amazonaws.com/photos/195783398/medium.jpeg,,"",,1,0,false,,"80000 San José, Departamento de San José, Uruguay",-34.3301083333,-56.7172666667,20,,,,20,,,false,,,Ombu,Phytolacca dioica,ombú,Plantae,129582,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Phytolaccaceae,Phytolacca,Phytolacca dioica,
116005068,2022/05/07 6:24 PM,2022-05-07,2022-05-07 21:24:00 UTC,Montevideo,736016,flo_grattarola,2022-05-08 00:42:27 UTC,2022-05-08 00:42:27 UTC,needs_id,CC0,https://www.inaturalist.org/observations/116005068,https://inaturalist-open-data.s3.amazonaws.com/photos/195783359/medium.jpeg,,"",,0,0,false,,"80000 San José, Departamento de San José, Uruguay",-34.3297478172,-56.7182513282,20,,,,20,,,false,,,Bryophyta,Bryophyta,Musgos y parientes,Plantae,311249,Plantae,Bryophyta,,,,,,
116005071,2022/05/07 6:19 PM,2022-05-07,2022-05-07 21:19:00 UTC,Montevideo,736016,flo_grattarola,2022-05-08 00:42:28 UTC,2022-05-08 23:02:15 UTC,research,CC0,https://www.inaturalist.org/observations/116005071,https://inaturalist-open-data.s3.amazonaws.com/photos/195783443/medium.jpeg,,"",,2,0,false,,"80000 San José, Departamento de San José, Uruguay",-34.3301083333,-56.7172666667,20,,,,20,,open,false,,,Bay laurel,Laurus nobilis,Laurel de Castilla,Plantae,54759,Plantae,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Laurus,Laurus nobilis,
116005073,2022/05/07 6:19 PM,2022-05-07,2022-05-07 21:19:00 UTC,Montevideo,736016,flo_grattarola,2022-05-08 00:42:29 UTC,2022-05-08 23:01:57 UTC,research,CC0,https://www.inaturalist.org/observations/116005073,https://inaturalist-open-data.s3.amazonaws.com/photos/195783598/medium.jpeg,,"",,3,0,false,,"80000 San José, Departamento de San José, Uruguay",-34.3301083333,-56.7172666667,20,,,,20,,,false,,,Morus indica,Morus indica,,Plantae,773801,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Morus,Morus indica,
